data,d,T,noise,prior_acc,seed,variant,variant_name,tau,time,w0_auroc,w0_auprc,w0_f1,w0_shd_norm,comb_auroc,comb_auprc,comb_f1,comb_shd_norm,experiment,auroc,auprc,f1_opt,shd_norm,f1_topk,target,top_m,n_features,rmse,mae
synthetic,10.0,500.0,gaussian,0.3,0,C,FullModel,0.6727486848831177,34.22279930114746,0.2375215146299484,0.05790354370787244,0.1443298969070796,0.9222222222222223,0.6033834586466165,0.23205433229133784,0.3846153846149763,0.35555555555555557,synthetic,,,,,,,,,,
synthetic,10.0,500.0,gaussian,0.3,0,F,HardMask,,28.698469638824463,0.2745266781411359,0.06475468975468976,0.1443298969070796,0.9222222222222223,0.2532894736842105,0.13309853220567508,0.2692307692305311,0.8444444444444444,synthetic,,,,,,,,,,
synthetic,10.0,500.0,gaussian,0.3,0,A,NoPrior,1.0,32.533408641815186,0.8932874354561101,0.7995052566481138,0.8571428571422346,0.022222222222222223,0.8984962406015038,0.7903197055922866,0.8148148148142551,0.05555555555555555,synthetic,,,,,,,,,,
synthetic,10.0,500.0,gaussian,0.3,1,C,FullModel,0.3573785126209259,34.159348249435425,0.8140243902439024,0.5166998995628027,0.7499999999994063,0.044444444444444446,0.7798369162342476,0.513762565886172,0.5777777777772641,0.2111111111111111,synthetic,,,,,,,,,,
synthetic,10.0,500.0,gaussian,0.3,1,F,HardMask,,28.870222330093384,0.3871951219512195,0.11862373737373738,0.24999999999946876,0.13333333333333333,0.3891771682727947,0.23320307347315655,0.348623853210715,0.7888888888888889,synthetic,,,,,,,,,,
synthetic,10.0,500.0,gaussian,0.3,1,A,NoPrior,1.0,35.98085021972656,1.0,1.0,0.9999999999993749,0.0,0.8732394366197183,0.7832809977017643,0.7142857142851848,0.13333333333333333,synthetic,,,,,,,,,,
synthetic,10.0,500.0,gaussian,0.3,2,C,FullModel,0.4677194654941559,33.71338987350464,0.49709302325581395,0.16210360852925096,0.33333333333277776,0.044444444444444446,0.6456766917293233,0.29369443583237376,0.3829787234038208,0.32222222222222224,synthetic,,,,,,,,,,
synthetic,10.0,500.0,gaussian,0.3,2,F,HardMask,,29.435150861740112,0.4026162790697674,0.2833333333333333,0.39999999999952,0.03333333333333333,0.37030075187969924,0.22977994227994228,0.2692307692305311,0.8444444444444444,synthetic,,,,,,,,,,
synthetic,10.0,500.0,gaussian,0.3,2,A,NoPrior,1.0,35.48132252693176,0.4680232558139535,0.16006698646299056,0.33333333333277776,0.044444444444444446,0.6278195488721804,0.2771201315896616,0.3809523809519184,0.28888888888888886,synthetic,,,,,,,,,,
synthetic,10.0,500.0,gaussian,0.3,3,C,FullModel,0.3826045095920563,37.35167479515076,0.8201219512195121,0.5176587301587301,0.7499999999994063,0.044444444444444446,0.8505639097744361,0.6194573152171864,0.7586206896546206,0.07777777777777778,synthetic,,,,,,,,,,
synthetic,10.0,500.0,gaussian,0.3,3,F,HardMask,,30.047194719314575,0.3780487804878049,0.10907935233507293,0.18181818181775208,0.1,0.42293233082706766,0.16611337096789858,0.2692307692305311,0.8444444444444444,synthetic,,,,,,,,,,
synthetic,10.0,500.0,gaussian,0.3,3,A,NoPrior,1.0,37.28782629966736,0.7423780487804879,0.34347142584500184,0.5882352941170795,0.07777777777777778,0.7396616541353384,0.4183443530065134,0.588235294117128,0.15555555555555556,synthetic,,,,,,,,,,
synthetic,10.0,500.0,gaussian,0.3,4,C,FullModel,0.42684444785118103,40.56337237358093,0.6534090909090909,0.2661290322580645,0.49999999999924993,0.022222222222222223,0.9769850402761795,0.7584891118982028,0.8181818181812437,0.044444444444444446,synthetic,,,,,,,,,,
synthetic,10.0,500.0,gaussian,0.3,4,F,HardMask,,33.91655945777893,0.18181818181818182,0.022222222222222223,0.04347826086952174,0.9777777777777777,0.22784810126582275,0.15656565656565657,0.21782178217801942,0.8777777777777778,synthetic,,,,,,,,,,
synthetic,10.0,500.0,gaussian,0.3,4,A,NoPrior,1.0,38.863542556762695,0.26136363636363635,0.02239819004524887,0.056338028168957735,0.7444444444444445,0.9090909090909091,0.626263306302832,0.8181818181812437,0.044444444444444446,synthetic,,,,,,,,,,
synthetic,10.0,500.0,gaussian,0.6,0,C,FullModel,0.8562511205673218,37.691439628601074,0.5938037865748709,0.3487389620283735,0.42857142857086733,0.08888888888888889,0.7330827067669173,0.446593155281903,0.5925925925920493,0.12222222222222222,synthetic,,,,,,,,,,
